order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date
996cf7c353223f600a2ea65b66166d91,7b380de32815f7e1c096e0ac24c212b9,delivered,2018-07-30 18:48:00,2018-07-30 20:04:00,2018-08-01 16:34:00,2018-08-06 9:58:00,2018-08-21 0:00:00
541a54e2a8381eb2797b40e7b1b255f0,cbb95f8f386e54a6f4f41134f77bc78a,delivered,2017-11-08 8:46:00,2017-11-08 9:06:00,2017-11-08 18:46:00,2017-11-09 21:21:00,2017-11-22 0:00:00
bea9b92d7a14b236b96eb9fc71c28e02,30d7198ae94852e95a5afef8039145e4,delivered,2018-04-25 22:01:00,2018-04-25 22:15:00,2018-04-26 13:53:00,2018-04-30 15:12:00,2018-05-18 0:00:00
e2c5cdd2687cb2f0efe991ed155c8653,b686164fb97b8faf0c6acb1556838ed1,delivered,2018-05-07 18:23:00,2018-05-07 18:35:00,2018-05-10 17:02:00,2018-05-16 14:13:00,2018-05-29 0:00:00
db2dee8ce25524ad8374fa6d1b11849b,585c5fd91de9a68ca00f9d7cb63dd254,delivered,2017-04-05 15:45:00,2017-04-06 15:55:00,2017-04-10 8:39:00,2017-05-13 11:41:00,2017-05-03 0:00:00
9439142ac9f68b5cfaa4bbd1e2052ba0,2a0ffe70fa6ad3911b6b1d9e3c9af7c6,delivered,2018-05-04 8:41:00,2018-05-04 8:55:00,2018-05-10 14:26:00,2018-05-22 19:50:00,2018-06-01 0:00:00
bfb252b3dd3e56fde4d0c9a31618323f,264ccafa6c46b43174bce09f9f63228f,delivered,2018-02-15 15:33:00,2018-02-15 15:46:00,2018-02-19 17:25:00,2018-03-05 22:51:00,2018-03-07 0:00:00
bda4a979b6d9a0a3993ea2ef51a41497,e467d6ea09ebf67931a3981f7ef5db84,delivered,2017-12-18 11:36:00,2017-12-18 12:37:00,2017-12-19 20:18:00,2017-12-21 15:12:00,2018-01-05 0:00:00
f98376009c93a60a4d80496d4e294637,220504d6aa9c2b1de671c7a3c487a537,delivered,2018-02-26 7:16:00,2018-02-26 7:28:00,2018-02-27 13:52:00,2018-03-03 15:52:00,2018-03-16 0:00:00
132d901a3191ebd415e9ed346435417e,11593c31e67cba57ac694b45f7728974,delivered,2018-02-15 16:10:00,2018-02-15 16:26:00,2018-02-21 2:32:00,2018-03-06 23:32:00,2018-03-15 0:00:00
cbea2c5a36ffbfc6447172746e0d9da2,61596279ddb21ea65d3ad55636c1720c,delivered,2018-01-05 10:10:00,2018-01-06 2:08:00,2018-01-09 22:10:00,2018-01-17 17:25:00,2018-02-01 0:00:00
